market_seg,customers,sales_sum,sales_mean
1,1816,9471931.44,5215.821277533039
2,2065,13826398.28,6695.5923874092005
3,3323,8373058.39,2519.728675895275
4,834,7582446.31,9091.662242206234
5,1191,2428343.67,2038.9115617128464
6,756,2109155.3,2789.887962962963
7,1686,7354551.74,4362.130332147094
8,1696,3109217.84,1833.2652358490566
9,1602,4053334.84,2530.171560549313
13,2773,19286819.25,6955.21790479625
15,3080,8701664.2,2825.215649350649
17,831,4796224.64,5771.6301323706375
18,2548,11741996.47,4608.318865777081
21,2300,11260693.9,4895.953869565217
23,2539,14507084.93,5713.700248129185
26,453,2143224.01,4731.178830022074
