region,Gruppe,Kunden (#),"Umsatz (Summe, €)","Ø Umsatz pro Kunde (€, mean)","Median Umsatz pro Kunde (€, median)",Ø Bestellungen pro Kunde,Ø Mitarbeiter je Kunde,Distrikte (#),"Gleichanteil je Distrikt (€, theoretisch)","SD Distrikt-Umsatz (Summe, €)","CV Distrikt-Umsatz (Summe, %)","IQR Distrikt-Umsatz (Summe, €)","SD Distrikt-Ø-Umsatz (€, pro Kunde)",CV Distrikt-Ø-Umsatz (%),"IQR Distrikt-Ø-Umsatz (€, pro Kunde)"
11,Nicht-ORSY,3387,9560893.1,2822.82,815.53,15.8,4.16,24,398370.55,227536.36,57.12,205475.91,1044.27,36.99,1173.48
11,ORSY,330,7322648.18,22189.84,14308.82,94.57,7.1,21,348697.53,165276.7,47.4,269324.32,6122.1,27.59,9248.09
12,Nicht-ORSY,3181,8633644.84,2714.13,748.36,15.37,3.98,20,431682.24,203610.55,47.17,180356.09,894.86,32.97,709.99
12,ORSY,298,6258874.21,21002.93,12715.35,87.05,7.21,18,347715.23,184561.77,53.08,213179.91,9180.02,43.71,11144.07
13,Nicht-ORSY,4127,11905246.61,2884.72,764.44,15.97,4.52,23,517619.42,259495.13,50.13,372300.1,702.86,24.36,1074.23
13,ORSY,409,8407389.06,20555.96,12137.45,88.44,7.59,21,400351.86,167858.08,41.93,179459.75,8601.09,41.84,9940.93
14,Nicht-ORSY,2760,6819815.48,2470.95,776.16,14.88,3.93,18,378878.64,199038.61,52.53,186118.94,1153.39,46.68,710.13
14,ORSY,293,5640457.8,19250.71,11510.18,83.39,6.78,15,376030.52,153993.58,40.95,177760.42,4877.39,25.34,8258.36
15,Nicht-ORSY,3856,10133678.52,2628.03,705.5,14.69,4.16,23,440594.72,255473.11,57.98,278524.62,1095.54,41.69,827.25
15,ORSY,371,8195014.16,22088.99,13421.39,84.33,6.95,20,409750.71,239232.81,58.38,349965.2,10375.97,46.97,13082.34
16,Nicht-ORSY,2736,6935144.7,2534.78,715.36,14.13,3.69,24,288964.36,182926.37,63.3,288617.5,903.27,35.64,1175.93
16,ORSY,374,7566034.14,20230.04,12467.26,81.05,7.31,21,360287.34,177041.62,49.14,165290.62,5442.43,26.9,4327.55
17,Nicht-ORSY,3784,11170722.2,2952.09,776.44,15.35,3.72,24,465446.76,252293.66,54.2,347266.6,1125.73,38.13,1177.71
17,ORSY,388,7716029.51,19886.67,14407.94,80.91,6.49,22,350728.61,156734.14,44.69,207617.44,10278.28,51.68,11021.23
18,Nicht-ORSY,2903,8355562.16,2878.25,832.71,14.32,4.24,19,439766.43,209552.09,47.65,267620.84,980.78,34.08,1305.63
18,ORSY,296,6124990.54,20692.54,12622.44,77.65,7.47,17,360293.56,171913.13,47.71,245902.47,6267.7,30.29,8462.65
