region,Gruppe,Kunden (#),"Umsatz (Summe, €)","Ø Umsatz pro Kunde (€, mean)","Median Umsatz pro Kunde (€, median)",Ø Bestellungen pro Kunde,Ø Mitarbeiter je Kunde,Distrikte (#),"Ø Umsatz pro Distrikt (€, Summe)","SD Umsatz Distrikte (€, Summe)",Umsatzbereich Distrikte (€),25%-Quantil Distrikt-Umsatz (€),75%-Quantil Distrikt-Umsatz (€)
11,Nicht-ORSY,3387,9560893.1,2822.82,815.53,15.8,4.16,24,398370.55,227536.36,"20 – 879,873",300667.26,506143.17
11,ORSY,330,7322648.18,22189.84,14308.82,94.57,7.1,21,348697.53,165276.7,"135,108 – 715,236",206815.23,476139.55
12,Nicht-ORSY,3181,8633644.84,2714.13,748.36,15.37,3.98,20,431682.24,203610.55,"30 – 789,241",349448.55,529804.64
12,ORSY,298,6258874.21,21002.93,12715.35,87.05,7.21,18,347715.23,184561.77,"88,825 – 729,389",221341.71,434521.62
13,Nicht-ORSY,4127,11905246.61,2884.72,764.44,15.97,4.52,23,517619.42,259495.13,"3,665 – 1,049,553",324304.76,696604.86
13,ORSY,409,8407389.06,20555.96,12137.45,88.44,7.59,21,400351.86,167858.08,"101,667 – 856,942",295055.33,474515.08
14,Nicht-ORSY,2760,6819815.48,2470.95,776.16,14.88,3.93,18,378878.64,199038.61,"163 – 674,442",330844.33,516963.27
14,ORSY,293,5640457.8,19250.71,11510.18,83.39,6.78,15,376030.52,153993.58,"117,292 – 680,209",287887.8,465648.22
15,Nicht-ORSY,3856,10133678.52,2628.03,705.5,14.69,4.16,23,440594.72,255473.11,"1,277 – 950,110",302287.26,580811.88
15,ORSY,371,8195014.16,22088.99,13421.39,84.33,6.95,20,409750.71,239232.81,"136,124 – 900,716",211059.5,561024.69
16,Nicht-ORSY,2736,6935144.7,2534.78,715.36,14.13,3.69,24,288964.36,182926.37,"391 – 535,678",146187.1,434804.59
16,ORSY,374,7566034.14,20230.04,12467.26,81.05,7.31,21,360287.34,177041.62,"59,699 – 817,652",256790.33,422080.95
17,Nicht-ORSY,3784,11170722.2,2952.09,776.44,15.35,3.72,24,465446.76,252293.66,"64 – 912,635",317934.68,665201.28
17,ORSY,388,7716029.51,19886.67,14407.94,80.91,6.49,22,350728.61,156734.14,"55,581 – 724,598",242015.51,449632.95
18,Nicht-ORSY,2903,8355562.16,2878.25,832.71,14.32,4.24,19,439766.43,209552.09,"847 – 783,749",340651.65,608272.5
18,ORSY,296,6124990.54,20692.54,12622.44,77.65,7.47,17,360293.56,171913.13,"96,983 – 692,022",253298.42,499200.89
