region,group,customers,sales_sum_eur,avg_sales,median_sales,avg_orders,avg_emp,district_count,sales_mean_sd_district,sales_mean_cv_district_pct,sales_mean_iqr_district,branch_office_count,sales_mean_sd_branch_office,sales_mean_cv_branch_office_pct,sales_mean_iqr_branch_office
11,Nicht-ORSY,3387,9560893.1,2822.82,815.53,15.8,4.16,24,1044.27,36.99,1173.48,25,786.52,27.86,792.7
11,ORSY,330,7322648.18,22189.84,14308.82,94.57,7.1,21,6122.1,27.59,9248.09,20,12706.39,57.26,7947.19
12,Nicht-ORSY,3181,8633644.84,2714.13,748.36,15.37,3.98,20,894.86,32.97,709.99,31,2474.93,91.19,1446.96
12,ORSY,298,6258874.21,21002.93,12715.35,87.05,7.21,18,9180.02,43.71,11144.07,26,12660.68,60.28,13711.75
13,Nicht-ORSY,4127,11905246.61,2884.72,764.44,15.97,4.52,23,702.86,24.36,1074.23,49,1498.98,51.96,1770.34
13,ORSY,409,8407389.06,20555.96,12137.45,88.44,7.59,21,8601.09,41.84,9940.93,42,23464.01,114.15,14687.94
14,Nicht-ORSY,2760,6819815.48,2470.95,776.16,14.88,3.93,18,1153.39,46.68,710.13,24,953.13,38.57,1081.42
14,ORSY,293,5640457.8,19250.71,11510.18,83.39,6.78,15,4877.39,25.34,8258.36,17,6446.19,33.49,5596.22
15,Nicht-ORSY,3856,10133678.52,2628.03,705.5,14.69,4.16,23,1095.54,41.69,827.25,24,1289.16,49.05,1144.95
15,ORSY,371,8195014.16,22088.99,13421.39,84.33,6.95,20,10375.97,46.97,13082.34,21,8286.1,37.51,13352.56
16,Nicht-ORSY,2736,6935144.7,2534.78,715.36,14.13,3.69,24,903.27,35.64,1175.93,19,1083.97,42.76,687.19
16,ORSY,374,7566034.14,20230.04,12467.26,81.05,7.31,21,5442.43,26.9,4327.55,17,10351.31,51.17,6372.72
17,Nicht-ORSY,3784,11170722.2,2952.09,776.44,15.35,3.72,24,1125.73,38.13,1177.71,25,1181.01,40.01,1562.12
17,ORSY,388,7716029.51,19886.67,14407.94,80.91,6.49,22,10278.28,51.68,11021.23,20,11875.15,59.71,7776.04
18,Nicht-ORSY,2903,8355562.16,2878.25,832.71,14.32,4.24,19,980.78,34.08,1305.63,16,810.26,28.15,1116.9
18,ORSY,296,6124990.54,20692.54,12622.44,77.65,7.47,17,6267.7,30.29,8462.65,13,6406.25,30.96,8087.83
