cust_id,region,district,branch_office,market_seg,emp_count,potential,sales,rev_salesrep,rev_branch_office,rev_ebusiness,rev_internal_staff,rev_others,contr_margin,sales_orsy_relevant,orders_count,avg_order_pos,diff_products_count,diff_product_fields_count,dunning_level_current,dunning_level_highest,last_buy,cust_since,bo_visits_total,bo_visits_distinct,bo_highest_sales,calls_count,eshop_logins_count,ccp_most_used,count_buydays,count_buyweeks,count_buymonths,flag_app,flag_eproc,flag_eshop,flag_red,flag_new_orsyshelf,flag_orsyonline,flag_orsyfleet,flag_clickandcollect,flag_sofortservice,flag_s24
40071,13,63128,N820,0009,1,2000.0,2445.11,647.36,0.0,0.0,1797.75,0.0,1345.41,769.36,10,1.3,9,5,0,2,2023-09-11,1988-03-07,0.0,0.0,,0.0,0.0,4,10,8,6,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0
66107,17,63502,N800,0002,10,34000.0,14070.62,12395.82,1219.93,0.0,454.87,0.0,8511.49,9266.98,67,4.7,168,15,0,1,2023-09-25,1980-01-01,9.0,2.0,N804,0.0,0.0,1,57,44,12,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0
33010,17,63122,N859,0021,8,47400.0,5893.92,0.0,1189.13,4704.79,0.0,0.0,3211.06,923.88,25,3.68,57,10,0,2,2023-09-28,1980-01-01,9.0,2.0,N767,0.0,82.0,3,25,21,11,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
96845,18,63336,N690,0007,4,11500.0,1823.72,0.0,1823.72,0.0,0.0,0.0,1237.75,824.64,14,3.36,41,9,0,1,2023-08-24,1980-01-01,14.0,1.0,N690,1.0,6.0,2,14,13,8,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
64230,16,64028,N750,0026,8,27900.0,23654.08,10993.14,4550.01,8264.35,0.0,-153.42,9660.35,12881.86,122,3.53,251,18,0,1,2023-09-29,1999-09-28,51.0,3.0,N580,0.0,464.0,3,88,44,14,1.0,0.0,1.0,1.0,1,1,1,0.0,0.0,0.0
64009,16,63331,N540,0004,41,111300.0,198516.41,175744.56,10217.1,176.4,11803.95,574.4,59359.65,36169.51,238,6.7,538,22,0,1,2023-09-28,1987-07-17,13.0,5.0,N707,0.0,134.0,1,113,60,17,0.0,0.0,1.0,0.0,1,0,0,0.0,0.0,1.0
51547,16,66042,N540,0023,15,57600.0,29.72,0.0,0.0,0.0,29.72,0.0,21.09,29.72,2,2.0,2,2,0,0,2023-06-23,2006-03-22,0.0,0.0,,0.0,1.0,4,2,2,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
53397,18,61003,N840,0013,10,67400.0,12703.61,170.4,10226.19,2193.44,113.58,0.0,7382.17,4324.4,150,1.91,160,16,0,1,2023-09-28,1992-05-06,132.0,4.0,N840,0.0,1069.0,2,108,45,12,1.0,0.0,0.0,0.0,0,0,0,1.0,0.0,0.0
92051,15,64055,N900,0021,7,28800.0,14225.47,0.0,12527.15,1670.32,28.0,0.0,8273.14,5562.55,131,3.37,284,16,0,1,2023-09-28,1977-09-01,125.0,3.0,N911,0.0,21.0,2,97,48,13,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
87932,18,63336,N670,0007,1,18000.0,13192.07,11867.21,181.97,0.0,1142.89,0.0,5325.45,3372.39,48,2.77,67,14,3,3,2023-09-28,1992-01-22,3.0,2.0,N670,0.0,8.0,1,39,30,11,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
22795,11,63536,N210,0009,1,3900.0,6531.04,86.36,5077.99,789.85,576.84,0.0,3463.77,3354.76,83,2.53,177,12,0,1,2023-09-27,1989-03-06,78.0,2.0,N210,0.0,11.0,2,65,39,13,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,0.0
69308,16,66042,N700,0021,6,60300.0,370.02,0.0,370.02,0.0,0.0,0.0,263.75,191.83,6,1.33,7,4,0,1,2023-07-14,1981-06-01,6.0,3.0,N705,0.0,0.0,2,6,6,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
81206,17,63122,N620,0023,2,9100.0,4530.8,0.0,3934.84,0.0,595.96,0.0,2049.51,2534.45,34,2.88,39,10,0,4,2023-09-05,1994-08-31,32.0,2.0,N629,0.0,0.0,2,30,23,10,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
55171,13,64117,N814,0013,5,28400.0,1115.8,0.0,1115.8,0.0,0.0,0.0,685.21,898.84,9,1.78,12,5,1,1,2023-08-21,1982-05-01,9.0,2.0,N814,0.0,66.0,2,6,6,5,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
61336,13,68063,N684,0002,5,21500.0,1346.88,0.0,1346.88,0.0,0.0,0.0,727.84,306.04,10,2.6,24,8,0,2,2023-09-05,1998-07-07,10.0,5.0,N280,0.0,0.0,2,10,9,7,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,1.0
82176,16,65492,N700,0018,5,21500.0,120.21,120.21,0.0,0.0,0.0,0.0,58.14,39.12,2,4.0,6,4,0,1,2023-07-03,1983-08-08,0.0,0.0,,0.0,2.0,1,2,2,2,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
13461,12,63361,N230,0007,2,11900.0,171.6,0.0,171.6,0.0,0.0,0.0,117.17,171.6,2,1.5,3,2,0,0,2023-08-25,2002-07-02,2.0,1.0,N151,0.0,0.0,2,2,2,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
12376,16,64104,N920,0023,10,38400.0,4339.18,0.0,137.92,282.12,3919.14,0.0,2429.3,2397.25,66,1.73,70,10,0,2,2023-09-27,2000-02-29,9.0,1.0,N530,0.0,41.0,4,53,36,13,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0
57037,15,64004,N860,0002,4,41300.0,948.57,0.0,948.57,0.0,0.0,0.0,646.21,555.24,14,4.07,45,7,0,1,2023-09-08,1985-01-15,14.0,1.0,N860,0.0,0.0,2,13,13,9,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
53146,13,64085,N539,0001,5,19300.0,42.65,42.65,0.0,0.0,0.0,0.0,24.42,42.65,1,5.0,5,2,0,3,2023-07-04,2004-09-01,0.0,0.0,,0.0,0.0,1,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
63595,11,63070,N715,0023,11,229400.0,16.18,0.0,16.18,0.0,0.0,0.0,8.23,16.18,1,1.0,1,1,0,1,2022-11-30,2005-09-13,1.0,1.0,N767,0.0,0.0,2,1,1,1,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0
85400,14,63007,N166,0003,9,49100.0,4832.89,87.6,2737.76,31.24,2004.09,-27.8,2430.38,1674.37,27,2.15,44,10,0,3,2023-09-27,2004-09-09,19.0,1.0,N139,0.0,11.0,2,23,20,10,0.0,0.0,1.0,0.0,0,0,0,0.0,0.0,1.0
